,Date,Players,Game,Scores,Winner,Version,MA_score,MA_winner,MA_played,C_score,C_winner,C_played,M_score,M_winner,M_played,WO_score,WO_winner,WO_played,DA_score,DA_winner,DA_played,PA_score,PA_winner,PA_played,G_score,G_winner,G_played,I_score,I_winner,I_played,E_score,E_winner,E_played,IR_score,IR_winner,IR_played,EV_score,EV_winner,EV_played,has_score,has_winner,Nr_players
0,2018-11-18,I+M,Qwixx,I77+M77,I+M,Normal,0,0,0,0,0,0,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,77,1,1,0,0,0,0,0,0,0,0,0,1,1,2
1,2018-11-18,I+M,Qwixx,I104+M65,I,Normal,0,0,0,0,0,0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104,1,1,0,0,0,0,0,0,0,0,0,1,1,2
2,2018-11-18,I+M,Qwixx,I96+M62,I,Normal,0,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,1,1,0,0,0,0,0,0,0,0,0,1,1,2
3,2018-11-18,I+M,Mind,LVL10,,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
4,2018-11-18,I+M,Mind,LVL4,,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
5,2018-11-18,I+M,Mind,LVL10,,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
6,2018-11-18,I+M,Mind,LVL12,I+M,Normal,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
7,2018-11-22,I+M,Qwixx,I96+M78,I,Normal,0,0,0,0,0,0,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,1,1,0,0,0,0,0,0,0,0,0,1,1,2
8,2018-11-22,I+M,Qwixx,I48+M54,M,Normal,0,0,0,0,0,0,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,1,1,2
9,2018-11-22,I+M,Qwixx,I42+M51,M,Normal,0,0,0,0,0,0,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,1,1,2
10,2018-11-24,I+M,KeyForge,I3+M1,I,Normal,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
11,2018-11-25,I+M,KeyForge,I3+M1,I,Normal,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
12,2018-11-25,I+M,Qwixx,I81+M72,I,Normal,0,0,0,0,0,0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81,1,1,0,0,0,0,0,0,0,0,0,1,1,2
13,2018-11-25,I+M,Qwixx,I68+M83,M,Normal,0,0,0,0,0,0,83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,0,0,0,0,0,0,0,0,0,1,1,2
14,2018-11-25,I+M,Qwixx,I116+M64,I,Normal,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,1,1,0,0,0,0,0,0,0,0,0,1,1,2
15,2018-11-30,I+M,KeyForge,I3+M2,I,Normal,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
16,2018-11-30,I+M,KeyForge,I2+M3,M,Normal,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2
17,2018-12-04,I+M,Qwixx,I84+M56,I,Normal,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84,1,1,0,0,0,0,0,0,0,0,0,1,1,2
18,2018-12-04,I+M,Qwixx,I78+M86,M,Normal,0,0,0,0,0,0,86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,0,0,0,0,0,0,1,1,2
19,2018-12-04,I+M,Qwixx,I108+M60,I,Normal,0,0,0,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,1,1,0,0,0,0,0,0,0,0,0,1,1,2
20,2018-12-05,I+M,Sushi Go!,I45+M45,I+M,Normal,0,0,0,0,0,0,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,0,0,0,0,0,0,0,0,0,1,1,2
21,2018-12-05,I+M,Jaipur,I85+M74,I,Normal,0,0,0,0,0,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,1,1,0,0,0,0,0,0,0,0,0,1,1,2
22,2018-12-05,I+M,Jaipur,I98+M64,I,Normal,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98,1,1,0,0,0,0,0,0,0,0,0,1,1,2
23,2018-12-07,I+M,KeyForge,I3+M2,I,Normal,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
24,2018-12-09,I+M,Schotten Totten,I5+M4,I,Normal,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,1,2
25,2018-12-09,I+M,Schotten Totten,I5+M3,I,Normal,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,1,2
26,2018-12-09,I+M,Schotten Totten,I3+M0,I,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2
27,2018-12-20,I+M,Sushi Go!,I40+M37,I,Normal,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,1,1,0,0,0,0,0,0,0,0,0,1,1,2
28,2018-12-22,I+M,Splendor,I9+M15,M,Normal,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,1,2
29,2018-12-22,I+M,Rozenkoning,I150+M139,I,Normal,0,0,0,0,0,0,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,1,1,0,0,0,0,0,0,0,0,0,1,1,2
30,2018-12-22,I+M,Qwixx,I65+M61,I,Normal,0,0,0,0,0,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,0,0,0,0,0,0,0,0,0,1,1,2
31,2018-12-24,I+M,KeyForge,I2+M3,M,Normal,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2
32,2018-12-24,I+M,Mind,LVL12,I+M,Normal,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
33,2018-12-08,M+C,Discover Lands Unknown,,M+C,Badlands,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
34,2018-12-24,I+M,Mind,LVL1,,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
35,2018-12-24,I+M,Mind,LVL1,,Normal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
36,2018-12-24,I+M,Santorini,M1+I0,M,Normal,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
37,2018-12-24,I+M,Santorini,M1+I0,M,Normal,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
